Synset	Class	Relation
scene%1:10:00:: 	ExtendedDnS.owl#information-object ; InformationObjects.owl#information-realization	
table%1:14:00:: 	ExtendedDnS.owl#information-object ; InformationObjects.owl#information-realization	
title%1:10:01:: 	ExtendedDnS.owl#information-object ; InformationObjects.owl#information-realization	
harmony%1:10:01:: 	ExtendedDnS.owl#information-object ; InformationObjects.owl#information-realization	
model%1:06:00:: 	ExtendedDnS.owl#information-object ; InformationObjects.owl#information-realization	
seminar%1:04:00:: 	ExtendedDnS.owl#information-object ; InformationObjects.owl#information-realization	
comment%1:10:00:: 	InformationObjects.owl#information-realization	
sign%1:06:01:: 	InformationObjects.owl#information-realization	
signature%1:10:00:: 	InformationObjects.owl#information-realization	
agency%1:14:01:: 	SocialUnits.owl#institution	
bank%1:14:00:: 	SocialUnits.owl#institution	
court%1:14:00:: 	SocialUnits.owl#institution	
empire%1:14:00:: 	SocialUnits.owl#institution	
foundation%1:14:00:: 	SocialUnits.owl#institution	
franchise%1:14:00:: 	SocialUnits.owl#institution	
house%1:14:02:: 	SocialUnits.owl#institution	
post%1:10:00:: 	SocialUnits.owl#institution	
university%1:14:00:: 	SocialUnits.owl#institution	
dialect%1:10:00:: 	SemioticCommunicationTheory.owl#semiotic-code	
language%1:10:00:: 	SemioticCommunicationTheory.owl#semiotic-code	
length%1:07:02:: 	Kyoto#length	
colon%1:10:00:: 	InformationObjects.owl#linguistic-object	
name%1:10:00:: 	InformationObjects.owl#linguistic-object	
note%1:10:04:: 	InformationObjects.owl#linguistic-object	
community%1:15:00:: 	CommonSenseMapping.owl#locative-role	
housing%1:06:00:: 	CommonSenseMapping.owl#locative-role	
parking%1:23:00:: 	CommonSenseMapping.owl#locative-role	
retreat%1:06:00:: 	CommonSenseMapping.owl#locative-role	
soil%1:15:00:: 	CommonSenseMapping.owl#locative-role	
spread%1:06:01:: 	CommonSenseMapping.owl#locative-role	
prison%1:06:00:: 	CommonSenseMapping.owl#locative-role ; SocialUnits.owl#institution	
level%1:06:01:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
aircraft%1:06:00:: 	Kyoto#artifact__artefact-eng-3.0-00021939-n	
